true_label,prediction,count
card_payment_not_recognised,direct_debit_payment_not_recognised,7
top_up_reverted,top_up_failed,5
beneficiary_not_allowed,failed_transfer,4
top_up_by_bank_transfer_charge,transfer_fee_charged,4
direct_debit_payment_not_recognised,card_payment_not_recognised,4
card_arrival,card_delivery_estimate,4
topping_up_by_card,transfer_into_account,4
transfer_into_account,topping_up_by_card,4
transfer_not_received_by_recipient,pending_transfer,4
exchange_via_app,fiat_currency_support,3
declined_transfer,beneficiary_not_allowed,3
reverted_card_payment?,card_not_working,3
fiat_currency_support,exchange_via_app,3
get_disposable_virtual_card,getting_virtual_card,3
extra_charge_on_statement,card_payment_fee_charged,3
balance_not_updated_after_bank_transfer,transfer_timing,3
card_delivery_estimate,card_arrival,3
compromised_card,direct_debit_payment_not_recognised,2
cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal,2
contactless_not_working,order_physical_card,2
compromised_card,lost_or_stolen_card,2
top_up_failed,top_up_reverted,2
exchange_charge,exchange_rate,2
declined_transfer,declined_card_payment,2
pending_card_payment,pending_cash_withdrawal,2
pending_cash_withdrawal,cash_withdrawal_not_recognised,2
card_swallowed,lost_or_stolen_card,2
card_payment_not_recognised,cash_withdrawal_not_recognised,2
balance_not_updated_after_cheque_or_cash_deposit,top_up_by_cash_or_cheque,2
balance_not_updated_after_bank_transfer,pending_transfer,2
card_not_working,declined_card_payment,2
balance_not_updated_after_bank_transfer,transfer_not_received_by_recipient,2
card_payment_fee_charged,direct_debit_payment_not_recognised,2
transfer_not_received_by_recipient,failed_transfer,2
transfer_into_account,transfer_not_received_by_recipient,2
transfer_not_received_by_recipient,balance_not_updated_after_bank_transfer,2
topping_up_by_card,top_up_reverted,2
wrong_amount_of_cash_received,pending_cash_withdrawal,2
virtual_card_not_working,disposable_card_limits,2
why_verify_identity,verify_my_identity,2
lost_or_stolen_card,cash_withdrawal_not_recognised,2
pending_transfer,transfer_not_received_by_recipient,2
pending_transfer,balance_not_updated_after_bank_transfer,2
pending_top_up,topping_up_by_card,2
top_up_by_bank_transfer_charge,top_up_by_card_charge,2
supported_cards_and_currencies,fiat_currency_support,2
top_up_by_cash_or_cheque,topping_up_by_card,2
virtual_card_not_working,card_not_working,2
visa_or_mastercard,supported_cards_and_currencies,2
card_about_to_expire,order_physical_card,2
Refund_not_showing_up,transfer_not_received_by_recipient,1
Refund_not_showing_up,request_refund,1
activate_my_card,card_arrival,1
atm_support,nearest_chase_bank,1
automatic_top_up,lost_or_stolen_phone,1
beneficiary_not_allowed,balance_not_updated_after_bank_transfer,1
balance_not_updated_after_cheque_or_cash_deposit,transfer_not_received_by_recipient,1
balance_not_updated_after_cheque_or_cash_deposit,top_up_failed,1
balance_not_updated_after_cheque_or_cash_deposit,pending_cash_withdrawal,1
card_about_to_expire,card_delivery_estimate,1
cancel_transfer,reverted_card_payment?,1
beneficiary_not_allowed,transfer_into_account,1
beneficiary_not_allowed,exchange_rate,1
balance_not_updated_after_bank_transfer,failed_transfer,1
balance_not_updated_after_cheque_or_cash_deposit,cash_withdrawal_not_recognised,1
balance_not_updated_after_bank_transfer,lost_or_stolen_phone,1
balance_not_updated_after_bank_transfer,balance_not_updated_after_cheque_or_cash_deposit,1
automatic_top_up,transfer_fee_charged,1
automatic_top_up,out_of_cash_capacity,1
activate_my_card,card_about_to_expire,1
contactless_not_working,revert_card_payment,1
contactless_not_working,contacted_or_not_possible,1
contactless_not_working,card_not_working,1
compromised_card,terminate_account,1
compromised_card,card_not_working,1
cash_withdrawal_not_recognised,pending_cash_withdrawal,1
change_pin,get_physical_card,1
change_pin,pin_blocked,1
cash_withdrawal_not_recognised,declined_cash_withdrawal,1
cash_withdrawal_not_recognised,card_payment_not_recognised,1
cash_withdrawal_charge,top_up_limits,1
cash_withdrawal_not_recognised,lost_or_stolen_card,1
card_swallowed,cash_withdrawal_not_recognised,1
card_swallowed,declined_cash_withdrawal,1
card_swallowed,failed_transfer,1
cash_withdrawal_charge,card_payment_fee_charged,1
card_not_working,pin_blocked,1
card_payment_not_recognised,cancel_transfer,1
card_payment_fee_charged,card_payment_not_recognised,1
card_payment_fee_charged,top_up_by_card_charge,1
card_payment_wrong_exchange_rate,exchange_rate,1
card_swallowed,card_linking,1
card_payment_wrong_exchange_rate,card_payment_fee_charged,1
card_payment_not_recognised,compromised_card,1
card_acceptance,compromised_card,1
card_acceptance,atm_support,1
card_about_to_expire,getting_spare_card,1
card_acceptance,country_support,1
card_arrival,lost_or_stolen_card,1
card_acceptance,supported_cards_and_currencies,1
card_linking,card_arrival,1
card_not_working,lost_or_stolen_card,1
automatic_top_up,top_up_failed,1
failed_transfer,declined_transfer,1
extra_charge_on_statement,pending_transfer,1
exchange_via_app,exchange_rate,1
exchange_rate,exchange_timing,1
failed_transfer,beneficiary_not_allowed,1
edit_personal_details,lost_or_stolen_phone,1
exchange_rate,card_payment_wrong_exchange_rate,1
getting_spare_card,age_limit,1
getting_spare_card,card_linking,1
getting_virtual_card,order_physical_card,1
failed_transfer,transfer_not_received_by_recipient,1
fiat_currency_support,direct_debit_payment_not_recognised,1
exchange_via_app,exchange_charge,1
declined_card_payment,top_up_failed,1
country_support,card_acceptance,1
direct_debit_payment_not_recognised,lost_or_stolen_phone,1
direct_debit_payment_not_recognised,cash_withdrawal_not_recognised,1
declined_transfer,transaction_charged_twice,1
disposable_card_limits,get_disposable_virtual_card,1
disposable_card_limits,transaction_limits,1
disposable_card_limits,virtual_card_limits,1
disposable_card_limits,getting_virtual_card,1
disposable_card_limits,getting_spare_card,1
declined_transfer,contact_not_available,1
declined_transfer,declined_cash_withdrawal,1
declined_transfer,reverted_card_payment?,1
declined_transfer,failed_transfer,1
declined_transfer,top_up_failed,1
declined_card_payment,reverted_card_payment?,1
declined_transfer,card_not_working,1
declined_card_payment,pending_card_payment,1
pin_blocked,card_not_working,1
pending_transfer,transfer_timing,1
pending_transfer,pending_card_payment,1
pending_top_up,pending_cash_withdrawal,1
pending_top_up,top_up_reverted,1
passcode_forgotten,card_linking,1
pending_card_payment,reverted_card_payment?,1
pending_card_payment,transaction_charged_twice,1
passcode_forgotten,access_control,1
order_physical_card,get_disposable_virtual_card,1
passcode_forgotten,getting_spare_passcode,1
lost_or_stolen_card,verify_source_of_funds,1
lost_or_stolen_phone,lost_or_stolen_card,1
order_physical_card,card_arrival,1
order_physical_card,card_delivery_estimate,1
order_physical_card,card_payment_fee_charged,1
failed_transfer,transfer_into_account,1
get_disposable_virtual_card,disposable_card_limits,1
fiat_currency_support,supported_cards_and_currencies,1
supported_cards_and_currencies,topping_up_by_card,1
reverted_card_payment?,card_payment_not_recognised,1
reverted_card_payment?,declined_card_payment,1
supported_cards_and_currencies,getting_spare_card,1
supported_cards_and_currencies,card_acceptance,1
terminate_account,delete_account,1
request_refund,top_up_reverted,1
pin_blocked,direct_debit_payment_not_recognised,1
pin_blocked,get_physical_card,1
receiving_money,transfer_into_account,1
request_refund,Refund_not_showing_up,1
receiving_money,exchange_via_app,1
receiving_money,supported_cards_and_currencies,1
transfer_fee_charged,top_up_by_bank_transfer_charge,1
transfer_fee_charged,card_payment_not_recognised,1
transfer_fee_charged,card_payment_fee_charged,1
topping_up_by_card,top_up_by_cash_or_cheque,1
topping_up_by_card,pending_top_up,1
top_up_by_card_charge,topping_up_by_card,1
top_up_by_cash_or_cheque,verify_source_of_funds,1
top_up_failed,declined_card_payment,1
top_up_by_cash_or_cheque,top_up_failed,1
request_refund,card_payment_wrong_exchange_rate,1
transfer_not_received_by_recipient,transfer_timing,1
transfer_into_account,exchange_via_app,1
transfer_into_account,top_up_by_cash_or_cheque,1
transfer_into_account,lost_or_stolen_phone,1
transfer_into_account,top_up_by_bank_transfer_charge,1
transfer_fee_charged,top_up_limits,1
verify_my_identity,unable_to_verify_identity,1
unable_to_verify_identity,why_verify_identity,1
unable_to_verify_identity,verify_my_identity,1
transfer_timing,pending_transfer,1
transfer_timing,balance_not_updated_after_bank_transfer,1
virtual_card_not_working,disposable_card_not_working,1
verify_my_identity,why_verify_identity,1
verify_source_of_funds,automatic_top_up,1
visa_or_mastercard,order_physical_card,1
virtual_card_not_working,getting_virtual_card,1
wrong_amount_of_cash_received,transfer_not_received_by_recipient,1
wrong_amount_of_cash_received,wrong_exchange_rate_for_cash_withdrawal,1
wrong_exchange_rate_for_cash_withdrawal,card_payment_wrong_exchange_rate,1
wrong_exchange_rate_for_cash_withdrawal,cash_withdrawal_charge,1
wrong_exchange_rate_for_cash_withdrawal,exchange_charge,1
wrong_exchange_rate_for_cash_withdrawal,exchange_rate,1
